date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,92.58,95.52,94.0,92.22,29789.51,0.56,0.6,96.378,91.552,91.087,46113.97,45948.22,50629.32,14.19
2016-10-13,96.83,98.8,93.44,92.6,46513.08,-3.94,-4.05,95.66,90.404,90.851,48629.55,46316.69,49173.38,22.15
2016-10-12,97.0,99.56,97.38,96.0,39290.21,-1.39,-1.41,94.752,89.506,90.237,50304.71,45161.87,46864.97,18.71
2016-10-11,97.99,99.91,98.77,96.01,52143.16,0.47,0.48,92.03,88.353,89.056,50409.06,45146.96,44908.05,24.83
2016-10-10,91.45,99.45,98.3,89.75,62833.87,7.89,8.73,89.878,87.209,87.471,49731.62,45398.47,42312.14,29.92
2016-09-30,87.7,90.97,90.41,86.78,42367.45,1.51,1.7,86.726,86.619,85.604,45782.47,44294.63,39181.99,20.17
2016-09-29,83.15,91.49,88.9,82.5,54888.88,5.13,6.12,85.148,87.222,83.854,44003.83,46489.94,37070.31,26.14
2016-09-28,87.6,87.9,83.77,83.77,39811.92,-4.24,-4.82,84.26,87.632,81.928,40019.04,47669.42,34329.54,18.96
2016-09-27,81.5,88.15,88.01,81.5,48755.97,5.47,6.63,84.676,88.476,80.03,39884.86,51085.6,32342.7,23.22
2016-09-26,81.8,85.78,82.54,79.69,43088.14,0.02,0.02,84.54,89.057,77.711,41065.32,59155.51,29906.9,20.52
2016-09-23,83.93,85.93,82.52,82.4,33474.23,-1.94,-2.3,86.512,90.623,75.477,42806.79,55310.41,27754.67,15.94
2016-09-22,86.55,86.7,84.46,84.03,34964.92,-1.39,-1.62,89.296,91.298,73.071,48976.05,52030.07,26082.46,16.65
2016-09-21,87.0,87.87,85.85,85.03,39141.04,-1.48,-1.7,91.004,90.967,70.412,55319.8,48568.05,24334.81,18.64
2016-09-20,91.98,93.25,87.33,86.4,54658.27,-5.07,-5.49,92.276,89.759,67.542,62286.34,44669.13,22378.85,26.03
2016-09-19,96.32,96.9,92.4,91.5,51795.5,-4.04,-4.19,93.574,87.732,64.468,77245.71,39225.81,19646.99,24.66
2016-09-14,92.01,98.65,96.44,92.01,64320.54,3.44,3.7,94.734,84.588,61.023,67814.03,34069.35,17060.06,30.63
2016-09-13,95.61,97.2,93.0,92.0,66683.63,0.79,0.86,93.3,80.486,59.158,55084.08,27650.69,14572.67,31.75
2016-09-12,85.5,94.46,92.21,85.5,73973.74,-1.61,-1.72,90.93,76.224,57.278,41816.31,20989.66,11677.62,35.23
2016-09-09,103.0,103.12,93.82,93.55,129455.14,-4.38,-4.46,87.242,71.583,55.224,27051.93,13599.81,8013.14,61.65
2016-09-08,98.2,98.2,98.2,98.2,4637.1,8.93,10.0,81.89,66.365,52.811,1205.9,658.29,423.01,2.21
2016-09-07,89.27,89.27,89.27,89.27,670.79,8.12,10.01,74.442,60.33,49.785,324.68,198.93,142.07,0.32
2016-09-06,81.15,81.15,81.15,81.15,344.8,7.38,10.0,67.672,54.844,46.965,217.3,134.85,104.31,0.16
2016-09-05,73.77,73.77,73.77,73.77,151.81,6.71,10.01,61.518,49.857,44.335,163.01,101.57,85.81,0.07
2016-09-02,67.06,67.06,67.06,67.06,225.0,6.1,10.01,55.924,45.324,41.883,147.68,88.57,80.31,0.11
2016-09-01,60.96,60.96,60.96,60.96,231.0,5.54,10.0,50.84,41.203,39.594,110.68,68.17,67.15,0.11
2016-08-31,55.42,55.42,55.42,55.42,133.87,5.04,10.0,46.218,37.457,37.457,73.17,50.77,50.77,0.06
2016-08-30,50.38,50.38,50.38,50.38,73.38,4.58,10.0,42.016,35.461,35.461,52.4,41.54,41.54,0.03
2016-08-29,45.8,45.8,45.8,45.8,75.17,4.16,9.99,38.196,33.596,33.596,40.12,37.56,37.56,0.04
2016-08-26,41.64,41.64,41.64,41.64,40.0,3.79,10.01,34.724,31.853,31.853,29.46,32.18,32.18,0.02
2016-08-25,37.85,37.85,37.85,37.85,43.44,3.44,10.0,31.566,30.222,30.222,25.66,30.88,30.88,0.02
2016-08-24,34.41,34.41,34.41,34.41,30.0,3.13,10.01,28.696,28.696,28.696,28.37,28.37,28.37,0.01
2016-08-23,31.28,31.28,31.28,31.28,12.0,2.84,9.99,27.268,27.268,27.268,27.96,27.96,27.96,0.01
2016-08-22,28.44,28.44,28.44,28.44,21.84,2.59,10.02,25.93,25.93,25.93,33.28,33.28,33.28,0.01
2016-08-19,25.85,25.85,25.85,25.85,21.0,2.35,10.0,24.675,24.675,24.675,39.0,39.0,39.0,0.01
2016-08-18,19.58,23.5,23.5,19.58,57.0,7.18,43.99,23.5,23.5,23.5,57.0,57.0,57.0,0.03
