date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,30.9,31.38,30.82,30.78,30824.69,-0.17,-0.55,30.728,29.593,29.247,55908.08,38766.97,43070.74,2.22
2016-10-13,30.52,31.8,30.99,30.33,56577.43,0.34,1.11,30.396,29.401,29.097,53820.38,39279.28,43258.1,4.08
2016-10-12,30.8,31.33,30.65,30.55,45935.27,-0.53,-1.7,29.928,29.238,28.947,46384.19,36931.51,42620.33,3.31
2016-10-11,30.0,31.56,31.18,29.71,87731.47,1.18,3.93,29.448,29.137,28.789,39761.79,35942.31,41906.78,6.32
2016-10-10,29.62,30.98,30.0,29.6,58471.52,0.84,2.88,28.874,28.999,28.59,25796.46,34244.27,38891.54,4.21
2016-09-30,28.68,29.42,29.16,28.4,20386.22,0.51,1.78,28.458,28.907,28.459,21625.86,32888.07,38761.53,1.47
2016-09-29,28.28,28.9,28.65,28.28,19396.48,0.4,1.42,28.406,28.898,28.36,24738.19,35603.77,39239.27,1.4
2016-09-28,28.28,28.58,28.25,28.02,12823.27,-0.06,-0.21,28.548,28.925,28.268,27478.83,39129.81,39409.86,0.92
2016-09-27,27.84,28.36,28.31,27.83,17904.8,0.39,1.4,28.826,28.871,28.193,32122.83,42312.77,39829.18,1.29
2016-09-26,28.72,29.1,27.92,27.82,37618.54,-0.98,-3.39,29.124,28.908,28.121,42692.08,47976.05,40305.41,2.71
2016-09-23,29.2,29.79,28.9,28.9,35947.85,-0.46,-1.57,29.356,28.9,28.079,44150.29,47374.52,40441.12,2.59
2016-09-22,29.69,29.94,29.36,29.35,33099.67,-0.28,-0.94,29.39,28.792,28.014,46469.35,47236.92,42313.13,2.39
2016-09-21,29.75,30.0,29.64,29.38,36043.31,-0.16,-0.54,29.302,28.655,27.905,50780.8,48309.15,42738.37,2.6
2016-09-20,28.92,30.36,29.8,28.68,70751.02,0.72,2.48,28.916,28.441,27.741,52502.7,47871.25,43901.87,5.1
2016-09-19,29.07,29.56,29.08,28.66,44909.58,0.01,0.03,28.692,28.18,27.646,53260.02,43538.81,43978.83,3.24
2016-09-14,28.68,29.38,29.07,28.38,47543.18,0.15,0.52,28.444,28.011,27.601,50598.75,44634.98,47337.31,3.43
2016-09-13,27.65,28.96,28.92,27.65,54656.89,1.21,4.37,28.194,27.822,27.521,48004.49,42874.78,52508.3,3.94
2016-09-12,28.02,28.59,27.71,27.71,44652.85,-0.97,-3.38,28.008,27.61,27.443,45837.5,39689.9,55955.57,3.22
2016-09-09,27.85,28.98,28.68,27.68,74537.59,0.84,3.02,27.966,27.515,27.369,43239.79,37345.6,57984.42,5.37
2016-09-08,27.35,28.13,27.84,27.35,31603.25,0.02,0.07,27.668,27.333,27.226,33817.59,32634.78,57513.7,2.28
2016-09-07,28.2,28.2,27.82,27.68,34571.86,-0.17,-0.61,27.578,27.258,27.129,38671.21,33507.73,60116.36,2.49
2016-09-06,27.35,28.0,27.99,27.03,43821.97,0.49,1.78,27.45,27.235,27.068,37745.06,37389.34,68417.94,3.16
2016-09-05,27.38,27.5,27.5,27.0,31664.26,0.31,1.14,27.212,27.155,26.981,33542.3,37167.59,77512.68,2.28
2016-09-02,27.05,27.37,27.19,27.01,27426.63,-0.2,-0.73,27.064,27.041,26.798,31451.41,39932.5,77382.41,1.98
2016-09-01,27.57,28.2,27.39,27.28,55871.33,0.21,0.77,26.998,27.112,26.622,31451.97,44418.86,77540.9,4.03
2016-08-31,26.79,27.26,27.18,26.7,29941.12,0.38,1.42,26.938,27.19,26.465,28344.25,50039.63,76503.35,2.16
2016-08-30,26.76,26.98,26.8,26.5,22808.14,0.04,0.15,27.02,27.22,26.335,37033.61,62141.82,77328.03,1.64
2016-08-29,27.0,27.24,26.76,26.7,21209.81,-0.1,-0.37,27.098,27.275,26.195,40792.88,72221.24,77348.06,1.53
2016-08-26,27.19,27.49,26.86,26.85,27429.44,-0.23,-0.85,27.018,27.223,26.055,48413.59,78623.24,78248.8,1.98
2016-08-25,27.05,27.34,27.09,26.6,40332.74,-0.5,-1.81,27.226,27.118,25.896,57385.76,82392.62,77874.61,2.91
2016-08-24,27.77,28.47,27.59,27.0,73387.92,0.4,1.47,27.442,26.999,25.728,71735.02,86724.98,78214.07,5.29
2016-08-23,26.39,27.27,27.19,26.39,41604.49,0.83,3.15,27.42,26.901,25.558,87250.02,99446.55,78351.48,3.0
2016-08-22,27.6,27.64,26.36,26.25,59313.35,-1.54,-5.52,27.452,26.806,25.525,103649.61,117857.78,78102.98,4.27
2016-08-19,28.15,28.98,27.9,27.66,72290.28,-0.27,-0.96,27.428,26.555,25.536,108832.89,114832.32,79589.65,5.21
2016-08-18,26.87,28.86,28.17,26.61,112079.05,0.69,2.51,27.01,26.132,25.473,107399.48,110662.94,80107.43,8.08
2016-08-17,27.45,29.95,27.48,27.2,150962.95,0.18,0.66,26.556,25.74,25.356,101714.94,102967.06,76070.23,10.88
2016-08-16,26.23,27.49,27.35,25.71,123602.41,1.11,4.23,26.382,25.45,25.264,111643.07,92514.24,70025.95,8.91
2016-08-15,25.94,26.46,26.24,25.55,85229.75,0.43,1.67,26.16,25.114,25.188,132065.95,82474.88,65942.47,6.14
2016-08-12,25.64,26.1,25.81,25.47,65123.24,-0.09,-0.35,25.682,24.887,25.142,120831.75,77874.37,63203.05,4.69
2016-08-11,26.42,27.09,25.9,25.8,83656.36,-0.71,-2.67,25.254,24.673,25.141,113926.41,73356.6,61479.19,6.03
2016-08-10,26.28,27.65,26.61,26.16,200603.61,0.37,1.41,24.924,24.457,25.144,104219.17,69703.16,59862.75,14.46
2016-08-09,23.5,26.24,26.24,23.3,225716.81,2.39,10.02,24.518,24.214,25.087,73385.41,57256.4,52495.39,16.27
2016-08-08,23.28,23.86,23.85,23.0,29058.74,0.18,0.76,24.068,24.244,25.055,32883.81,38348.18,43501.04,2.09
2016-08-05,24.11,24.48,23.67,23.65,30596.52,-0.58,-2.39,24.092,24.517,25.156,34916.99,44346.98,44559.57,2.21
2016-08-04,24.23,24.52,24.25,23.81,35120.18,-0.33,-1.34,24.092,24.813,25.297,32786.8,49551.92,45783.31,2.53
2016-08-03,23.7,25.1,24.58,23.7,46434.81,0.59,2.46,23.99,24.971,25.385,35187.14,49173.41,46715.71,3.35
2016-08-02,23.9,24.3,23.99,23.3,23208.8,0.02,0.08,23.91,25.077,25.47,41127.39,47537.65,47581.78,1.67
2016-08-01,23.67,24.4,23.97,22.6,39224.65,0.3,1.27,24.42,25.262,25.555,43812.55,49410.05,48798.97,2.83
2016-07-29,23.6,23.93,23.67,23.51,19945.55,-0.07,-0.29,24.942,25.397,25.65,53776.97,48531.72,50416.52,1.44
2016-07-28,24.01,24.35,23.74,23.31,47121.89,-0.44,-1.82,25.534,25.609,25.749,66317.04,49601.77,52001.23,3.4
2016-07-27,26.42,26.65,24.18,24.18,76136.06,-2.36,-8.89,25.952,25.83,25.852,63159.68,50022.34,53445.19,5.49
2016-07-26,26.3,26.78,26.54,26.3,36634.6,-0.04,-0.15,26.244,25.96,25.98,53947.91,47734.38,52513.6,2.64
2016-07-25,26.8,27.6,26.58,26.21,89046.74,-0.05,-0.19,26.104,25.866,25.989,55007.56,48653.9,56074.16,6.42
2016-07-22,25.92,26.77,26.63,25.92,82645.93,0.8,3.1,25.852,25.795,26.012,43286.48,44772.16,53133.38,5.96
