date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,20.1,20.19,19.91,19.63,40816.51,-0.37,-1.82,19.914,19.487,19.477,42816.63,28654.49,26553.02,3.62
2016-10-13,19.82,20.29,20.28,19.69,80049.75,0.31,1.55,19.752,19.469,19.474,36766.99,26968.57,27155.74,7.1
2016-10-12,19.68,20.2,19.97,19.6,40445.89,0.26,1.32,19.502,19.393,19.441,22796.99,20944.45,24914.55,3.58
2016-10-11,19.7,19.9,19.71,19.51,25763.45,0.01,0.05,19.314,19.356,19.408,16565.37,19937.03,24477.4,2.28
2016-10-10,19.3,19.85,19.7,19.16,27007.53,0.6,3.14,19.198,19.303,19.39,14888.46,18768.02,23898.32,2.39
2016-09-30,19.15,19.19,19.1,19.02,10568.33,0.07,0.37,19.06,19.25,19.371,14492.36,17438.8,23736.83,0.94
2016-09-29,19.05,19.24,19.03,19.01,10199.76,0.0,0.0,19.186,19.24,19.386,17170.15,17532.62,24132.0,0.9
2016-09-28,19.11,19.2,19.03,19.0,9287.8,-0.1,-0.52,19.284,19.234,19.404,19091.91,19056.9,24928.46,0.82
2016-09-27,19.0,19.26,19.13,18.7,17378.89,0.12,0.63,19.398,19.273,19.438,23308.68,20623.76,26735.51,1.54
2016-09-26,19.88,19.91,19.01,19.0,25027.0,-0.72,-3.65,19.408,19.34,19.472,22647.57,22345.31,29299.81,2.22
2016-09-23,19.56,20.0,19.73,19.5,23957.31,0.21,1.08,19.44,19.466,19.501,20385.24,24451.54,31747.54,2.12
2016-09-22,19.75,19.85,19.52,19.4,19808.53,-0.08,-0.41,19.294,19.479,19.48,17895.09,27342.9,32492.03,1.76
2016-09-21,19.21,19.91,19.6,19.16,30371.65,0.42,2.19,19.184,19.488,19.455,19021.89,28884.65,33118.23,2.69
2016-09-20,19.23,19.34,19.18,19.11,14073.35,0.01,0.05,19.148,19.46,19.413,17938.83,29017.78,32840.16,1.25
2016-09-19,19.02,19.32,19.17,19.02,13715.38,0.17,0.9,19.272,19.476,19.42,22043.04,29028.62,33665.62,1.22
2016-09-14,18.99,19.15,19.0,18.76,11506.53,0.03,0.16,19.492,19.491,19.426,28517.84,30034.86,35012.62,1.02
2016-09-13,19.5,19.5,18.97,18.72,25442.53,-0.45,-2.32,19.664,19.532,19.42,36790.72,30731.37,35459.9,2.26
2016-09-12,19.25,19.75,19.42,19.01,24956.38,-0.38,-1.92,19.792,19.574,19.422,38747.41,30800.02,35586.81,2.21
2016-09-09,20.33,20.45,19.8,19.79,34594.39,-0.47,-2.32,19.772,19.602,19.399,40096.72,32847.27,36651.17,3.07
2016-09-08,19.87,20.69,20.27,19.8,46089.35,0.41,2.06,19.68,19.603,19.31,36014.2,36254.31,36228.97,4.09
2016-09-07,19.62,20.23,19.86,19.53,52870.93,0.25,1.27,19.49,19.536,19.202,31551.89,39043.54,35072.54,4.69
2016-09-06,19.26,19.61,19.61,18.95,35225.99,0.29,1.5,19.4,19.481,19.136,24672.03,37641.16,33438.62,3.12
