date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,28.05,28.08,27.74,27.1,27274.98,-0.48,-1.7,28.014,27.676,27.014,31042.0,33677.41,27762.13,3.97
2016-10-13,27.65,28.3,28.22,27.63,31792.35,0.48,1.73,27.982,27.614,26.971,29833.31,33853.53,29287.39,4.62
2016-10-12,27.83,27.88,27.74,27.58,23580.31,-0.25,-0.89,27.878,27.483,26.891,30906.22,35066.3,29456.01,3.43
2016-10-11,28.37,28.37,27.99,27.71,33878.99,-0.39,-1.37,27.906,27.334,26.811,38394.32,34035.84,29323.07,4.93
2016-10-10,27.64,28.57,28.38,27.6,38683.38,0.8,2.9,27.646,27.137,26.72,37006.0,31908.77,28943.41,5.63
2016-09-30,27.56,27.85,27.58,27.52,21231.51,-0.12,-0.43,27.338,26.91,26.589,36312.82,29349.31,27996.05,3.09
2016-09-29,27.6,27.88,27.7,27.36,37156.91,-0.18,-0.65,27.246,26.733,26.516,37873.75,28388.62,27878.83,5.4
2016-09-28,26.58,28.0,27.88,26.58,61020.79,1.19,4.46,27.088,26.54,26.427,39226.37,25907.84,27096.82,8.87
2016-09-27,26.8,26.83,26.69,26.08,26937.4,-0.15,-0.56,26.762,26.297,26.345,29677.36,22282.94,25352.78,3.92
2016-09-26,27.09,27.54,26.84,26.69,35217.49,-0.28,-1.03,26.628,26.304,26.298,26811.55,22345.0,25520.09,5.12
2016-09-23,26.65,27.15,27.12,26.65,29036.16,0.21,0.78,26.482,26.352,26.237,22385.8,21846.84,24848.65,4.22
2016-09-22,26.6,27.5,26.91,26.6,43920.03,0.66,2.51,26.22,26.328,26.183,18903.49,24721.26,24660.82,6.39
2016-09-21,26.01,26.43,26.25,26.0,13275.73,0.23,0.88,25.992,26.298,26.108,12589.3,23845.72,23243.59,1.93
2016-09-20,26.11,26.19,26.02,25.73,12608.32,-0.09,-0.34,25.832,26.288,26.063,14888.51,24610.31,23652.96,1.83
2016-09-19,25.9,26.2,26.11,25.78,13088.75,0.3,1.16,25.98,26.302,26.082,17878.45,25978.06,23803.65,1.9
2016-09-14,25.46,26.09,25.81,25.46,11624.64,0.04,0.15,26.222,26.267,26.106,21307.88,26642.8,24339.43,1.69
2016-09-13,25.84,25.96,25.77,25.6,12349.06,0.32,1.26,26.436,26.299,26.141,30539.02,27369.04,25314.95,1.8
