date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,25.58,25.67,24.74,24.5,128572.33,-0.84,-3.28,25.182,24.513,24.795,166779.31,159560.45,241035.12,4.49
2016-10-13,25.62,26.19,25.58,25.47,139690.64,-0.18,-0.7,25.056,24.339,24.883,161537.71,168449.99,252047.96,4.88
2016-10-12,25.09,26.26,25.76,24.92,245081.44,0.55,2.18,24.736,24.208,24.952,159683.96,177287.44,263725.86,8.56
2016-10-11,24.48,25.25,25.21,24.42,178245.56,0.59,2.4,24.38,24.017,25.024,138610.5,172103.56,281488.63,6.23
2016-10-10,24.35,24.95,24.62,23.62,142306.56,0.51,2.12,24.108,23.891,25.014,136048.8,194453.6,296879.39,4.97
2016-09-30,23.95,24.46,24.11,23.9,102364.33,0.13,0.54,23.844,24.048,25.021,152341.6,224471.37,308367.39,3.58
2016-09-29,23.98,24.38,23.98,23.64,130421.92,0.0,0.0,23.622,24.297,24.941,175362.28,246458.79,311918.21,4.56
2016-09-28,24.05,24.44,23.98,23.62,139714.11,0.13,0.55,23.68,24.566,24.871,194890.91,261948.84,318899.46,4.88
2016-09-27,23.17,23.93,23.85,22.4,165437.06,0.55,2.36,23.654,24.765,24.862,205596.63,291266.51,327600.83,5.78
2016-09-26,23.02,24.2,23.3,23.0,223770.59,0.3,1.3,23.674,24.847,24.905,252858.4,307453.05,332031.74,7.82
2016-09-23,24.28,24.48,23.0,22.97,217467.73,-1.27,-5.23,24.252,25.077,24.983,296601.15,322509.78,337068.7,7.6
2016-09-22,23.99,25.05,24.27,23.99,228065.06,0.42,1.76,24.972,25.427,25.08,317555.29,335645.92,344140.0,7.97
2016-09-21,23.62,24.3,23.85,23.51,193242.7,-0.1,-0.42,25.452,25.696,25.118,329006.78,350164.28,353734.0,6.75
2016-09-20,25.55,25.59,23.95,23.59,401745.91,-2.24,-8.55,25.876,26.031,25.063,376936.39,390873.69,357124.79,14.03
2016-09-19,28.5,28.5,26.19,25.63,442484.34,-0.41,-1.54,26.02,26.136,24.9,362047.7,399305.19,342834.04,15.46
2016-06-28,26.68,27.8,26.6,26.36,322238.44,-0.07,-0.26,25.902,25.993,24.558,348418.41,392263.4,324847.94,6.99
2016-06-27,25.5,26.69,26.67,25.29,285322.5,0.7,2.69,25.882,25.584,24.187,353736.56,377377.63,312878.07,6.19
2016-06-24,24.75,26.98,25.97,24.48,432890.75,1.3,5.27,25.94,25.176,23.842,371321.78,375850.07,307592.94,9.39
2016-06-23,25.17,25.85,24.67,24.19,327302.47,-0.93,-3.63,26.186,24.959,23.559,404811.0,363935.16,294230.8,7.1
2016-06-22,26.1,26.12,25.6,24.81,374337.88,-0.9,-3.4,26.252,24.963,23.36,436562.68,356610.44,285063.43,8.12
2016-06-21,27.2,27.79,26.5,26.27,348829.19,-0.44,-1.63,26.084,24.888,23.094,436108.39,351627.61,273559.79,7.57
2016-06-20,26.57,27.74,26.96,26.02,373248.59,-0.24,-0.88,25.286,24.733,22.8,401018.69,352634.08,262238.75,8.1
2016-06-17,25.11,27.5,27.2,24.8,600336.88,2.2,8.8,24.412,24.54,22.484,380378.36,357303.71,248413.96,13.02
2016-06-16,25.59,26.4,25.0,24.7,486060.84,0.24,0.97,23.732,24.095,22.163,323059.31,323375.88,226340.29,10.54
2016-06-15,22.16,24.76,24.76,22.16,372066.47,2.25,10.0,23.674,23.663,21.967,276658.2,286362.9,210673.34,8.07
2016-06-14,22.36,22.98,22.51,21.87,173380.69,-0.08,-0.35,23.692,23.122,21.717,267146.83,257432.48,197418.43,3.76
2016-06-13,23.2,24.35,22.59,22.56,270046.94,-1.21,-5.08,24.18,22.789,21.545,304249.46,248378.52,194717.19,5.86
2016-06-08,24.81,24.85,23.8,23.55,313741.62,-0.91,-3.68,24.668,22.507,21.327,334229.06,239335.82,185110.39,6.81
2016-06-07,24.95,25.38,24.71,24.5,254055.3,-0.14,-0.56,24.458,22.158,21.066,323692.45,224526.44,174300.31,5.51
2016-06-06,24.7,25.3,24.85,24.18,324509.62,-0.1,-0.4,23.652,21.757,20.757,296067.59,213516.42,168489.69,7.04
2016-06-03,24.96,25.73,24.95,24.63,358893.81,-0.08,-0.32,22.552,21.3,20.5,247718.12,195491.98,157980.76,7.79
2016-06-02,23.86,25.03,25.03,23.86,419944.97,2.28,10.02,21.398,20.867,20.347,192507.57,171843.43,145943.55,9.11
2016-06-01,21.35,22.75,22.75,21.11,261058.55,2.07,10.01,20.346,20.428,20.224,144442.58,139524.21,128220.47,5.66
2016-05-31,19.42,20.93,20.68,19.42,115930.99,1.33,6.87,19.858,20.231,20.22,125360.42,129304.7,119650.23,2.51
2016-05-30,18.97,19.78,19.35,18.79,82762.27,0.17,0.89,19.862,20.27,20.312,130965.25,134983.78,117431.19,1.8
2016-05-27,19.28,19.81,19.18,19.01,82841.09,-0.59,-2.98,20.048,20.311,20.446,143265.83,137404.37,116814.46,1.8
2016-05-26,19.81,19.9,19.77,18.41,179619.98,-0.54,-2.66,20.336,20.3,20.619,151179.28,141055.86,119415.85,3.9
2016-05-25,20.82,21.4,20.31,20.22,165647.77,-0.39,-1.88,20.51,20.146,20.814,134605.85,130884.95,117612.29,3.59
2016-05-24,20.31,21.49,20.7,20.31,143955.16,0.42,2.07,20.604,19.974,21.006,133248.98,124074.18,117284.3,3.12
2016-05-23,20.55,20.55,20.28,20.08,144265.16,-0.34,-1.65,20.678,19.756,21.088,139002.3,123462.96,115469.89,3.13
2016-05-20,20.22,21.15,20.62,19.88,122408.34,-0.02,-0.1,20.574,19.699,21.224,131542.92,120469.54,114435.98,2.42
2016-05-19,21.0,21.43,20.64,20.55,96752.81,-0.14,-0.67,20.264,19.827,21.318,130932.45,120043.67,113334.95,1.92
2016-05-18,20.99,21.48,20.78,20.3,158863.44,-0.29,-1.38,19.782,20.019,21.412,127164.06,116916.73,117482.1,3.15
2016-05-17,19.69,21.53,21.07,19.68,172721.77,1.31,6.63,19.344,20.209,21.619,114899.38,109995.77,118295.61,3.42
