date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,21.31,21.62,21.0,20.74,106484.4,-0.45,-2.1,21.562,21.244,20.052,148950.98,145604.7,124693.95,1.45
2016-10-13,21.9,22.46,21.45,21.3,160716.81,-0.42,-1.92,21.528,21.191,19.974,142933.14,157277.6,130953.61,2.19
2016-10-12,22.15,22.34,21.87,21.6,134379.48,-0.48,-2.15,21.502,20.961,19.858,135779.36,149461.99,132814.45,1.83
2016-10-11,21.25,22.75,22.35,20.83,211119.27,1.21,5.72,21.406,20.688,19.689,139660.15,145118.12,135494.04,2.88
2016-10-10,20.9,21.14,21.14,20.35,132054.94,0.31,1.49,21.028,20.311,19.461,127124.82,129755.64,129210.34,1.8
2016-09-30,21.32,21.35,20.83,20.83,76395.2,-0.49,-2.3,20.926,20.074,19.298,142258.42,125667.75,130817.85,1.04
2016-09-29,21.2,21.48,21.32,20.85,124947.89,-0.07,-0.33,20.854,19.807,19.149,171622.06,124829.76,138460.17,1.7
2016-09-28,20.45,21.5,21.39,20.08,153783.47,0.93,4.54,20.42,19.487,18.933,163144.63,119879.64,134371.23,2.1
2016-09-27,20.62,20.92,20.46,19.52,148442.58,-0.17,-0.82,19.97,19.186,18.702,150576.1,113635.66,129440.58,2.02
2016-09-26,20.47,21.89,20.63,20.14,207722.97,0.16,0.78,19.594,19.002,18.523,132386.47,112672.35,124990.54,2.83
2016-09-23,19.05,20.93,20.47,19.05,223213.38,1.32,6.89,19.222,18.859,18.333,109077.07,103783.2,118131.18,3.04
2016-09-22,19.2,19.5,19.15,18.95,82560.73,0.01,0.05,18.76,18.757,18.153,78037.47,104629.63,110882.64,1.13
2016-09-21,19.0,19.17,19.14,18.65,90940.82,0.56,3.01,18.554,18.754,18.031,76614.66,116166.91,110090.65,1.24
2016-09-20,18.7,18.87,18.58,18.54,57494.43,-0.19,-1.01,18.402,18.69,17.915,76695.22,125869.95,110438.12,0.78
2016-09-19,18.2,18.95,18.77,18.17,91175.98,0.61,3.36,18.41,18.611,17.81,92958.23,128665.05,110066.98,1.24
2016-09-14,18.12,18.47,18.16,17.81,68015.39,0.04,0.22,18.496,18.521,17.707,98489.33,135967.96,108554.4,0.93
2016-09-13,18.48,18.71,18.12,17.93,75446.67,-0.26,-1.42,18.754,18.491,17.644,131221.79,152090.58,111018.36,1.03
2016-09-12,18.31,18.69,18.38,18.01,91343.65,-0.24,-1.29,18.954,18.378,17.591,155719.16,148862.81,115593.43,1.25
2016-09-09,19.05,19.28,18.62,18.41,138809.44,-0.58,-3.02,18.978,18.218,17.5,175044.68,145245.51,117688.46,1.89
2016-09-08,19.44,19.44,19.2,18.97,118831.48,-0.25,-1.28,18.812,18.043,17.39,164371.87,137308.74,114772.72,1.62
