date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,20.4,20.88,20.44,20.24,73859.13,0.11,0.54,20.328,20.162,21.474,94525.43,119761.6,131924.49,10.0
2016-10-13,20.6,20.6,20.33,20.2,59598.62,-0.19,-0.93,20.04,20.567,21.559,94391.84,131347.73,139622.85,8.07
2016-10-12,20.6,20.65,20.52,20.13,100600.16,-0.35,-1.68,19.868,20.994,21.678,105408.2,149783.53,153577.96,13.62
2016-10-11,19.6,21.38,20.87,19.6,171827.7,1.39,7.14,19.632,21.263,21.722,116139.29,161151.06,159511.85,23.26
2016-10-10,19.18,19.49,19.48,19.02,66741.52,0.48,2.53,19.484,21.413,21.707,126023.21,157249.8,162219.71,9.03
2016-09-30,19.3,19.39,19.0,18.91,73191.19,-0.47,-2.41,19.996,21.7,21.667,144997.76,165456.68,161623.41,9.91
2016-09-29,19.13,19.9,19.47,19.13,114680.44,0.13,0.67,21.094,21.966,21.658,168303.62,165076.47,161611.96,15.52
2016-09-28,19.53,19.74,19.34,19.14,154255.62,-0.79,-3.92,22.12,22.228,21.655,194158.85,162249.27,161425.81,20.88
2016-09-27,21.1,21.1,20.13,19.84,221247.27,-1.91,-8.67,22.894,22.504,21.591,206162.82,155593.53,155352.87,29.95
2016-09-26,24.2,24.44,22.04,22.04,161614.3,-2.45,-10.0,23.342,22.741,21.474,188476.4,145549.29,146088.41,21.88
2016-09-23,24.58,24.88,24.49,23.66,189720.45,-0.11,-0.45,23.404,22.786,21.248,185915.6,144087.39,138998.39,25.68
2016-09-22,23.35,24.98,24.6,22.8,243956.62,1.39,5.99,22.838,22.551,20.911,161849.32,147897.97,130482.33,33.02
2016-09-21,22.5,23.5,23.21,22.31,214275.45,0.84,3.75,22.336,22.361,20.569,130339.68,157372.39,119649.59,29.01
2016-09-20,22.3,22.65,22.37,22.05,132815.16,0.02,0.09,22.114,22.181,20.284,105024.23,157872.65,109794.42,17.98
2016-09-19,21.7,22.5,22.35,20.65,148810.3,0.69,3.19,22.14,22.0,20.05,102622.19,167189.62,104268.36,20.14
2016-09-14,21.86,22.4,21.66,21.66,69389.05,-0.43,-1.95,22.168,21.634,19.822,102259.19,157790.15,97927.01,9.39
2016-09-13,22.39,22.4,22.09,21.48,86408.45,-0.01,-0.04,22.264,21.35,19.63,133946.62,158147.45,95889.34,11.7
2016-09-12,22.02,22.59,22.1,21.5,87698.2,-0.4,-1.78,22.386,21.082,19.423,184405.1,160602.35,94212.59,11.87
2016-09-09,22.05,22.78,22.5,22.0,120804.95,0.01,0.04,22.248,20.678,19.186,210721.07,155112.22,91737.52,16.35
2016-09-08,22.35,23.2,22.49,22.3,146995.3,0.35,1.58,21.86,20.206,18.909,231757.05,146627.53,86613.97,19.9
2016-09-07,22.1,23.27,22.14,22.1,227826.22,-0.56,-2.47,21.1,19.709,18.62,213321.1,133909.4,80922.39,30.84
2016-09-06,21.22,23.55,22.7,21.15,338700.81,1.29,6.03,20.436,19.27,18.371,182348.28,113066.7,71944.35,45.85
2016-09-05,20.7,22.35,21.41,20.56,219278.09,0.85,4.13,19.778,18.776,18.076,136799.6,81926.78,56290.3,29.68
2016-09-02,18.64,20.56,20.56,18.26,225984.83,1.87,10.01,19.108,18.387,17.838,99503.36,61716.18,46472.11,30.59
2016-09-01,18.75,19.22,18.69,18.65,54815.56,-0.13,-0.69,18.552,18.1,17.638,61498.02,41347.1,36624.88,7.42
2016-08-31,19.25,19.25,18.82,18.62,72962.11,-0.59,-3.04,18.318,18.009,17.547,54497.69,38063.88,35333.21,9.88
2016-08-30,18.09,19.5,19.41,17.96,110957.4,1.35,7.47,18.104,17.909,17.448,43785.11,33631.23,33051.47,15.02
2016-08-29,17.75,18.21,18.06,17.75,32796.91,0.28,1.57,17.774,17.763,17.313,27053.97,27822.82,28590.15,4.44
2016-08-26,17.57,18.16,17.78,17.57,35958.1,0.26,1.48,17.666,17.694,17.23,23929.0,28362.81,28241.67,4.87
2016-08-25,17.65,17.66,17.52,17.2,19813.93,-0.23,-1.3,17.648,17.612,17.189,21196.19,26600.41,27993.64,2.68
2016-08-24,17.88,17.97,17.75,17.63,19399.22,-0.01,-0.06,17.7,17.531,17.158,21630.06,27935.37,29060.35,2.63
2016-08-23,17.42,17.95,17.76,17.42,27301.67,0.24,1.37,17.714,17.471,17.121,23477.34,30822.0,31584.65,3.7
2016-08-22,17.59,17.79,17.52,17.45,17172.08,-0.17,-0.96,17.752,17.376,17.157,28591.68,30653.82,31834.67,2.32
2016-08-19,17.69,17.78,17.69,17.56,22294.05,-0.09,-0.51,17.722,17.289,17.199,32796.63,31228.05,33601.07,3.02
2016-08-18,17.82,17.99,17.78,17.7,21983.29,-0.04,-0.22,17.576,17.176,17.271,32004.62,31902.67,35363.65,2.98
2016-08-17,17.9,18.09,17.82,17.7,28635.61,-0.13,-0.72,17.362,17.085,17.361,34240.69,32602.55,38395.27,3.88
2016-08-16,17.37,18.18,17.95,17.32,52873.37,0.58,3.34,17.228,16.987,17.434,38166.66,32471.71,40030.84,7.16
2016-08-15,16.96,17.44,17.37,16.86,38196.81,0.41,2.42,17.0,16.862,17.504,32715.95,29357.47,40687.07,5.17
2016-08-12,16.69,16.97,16.96,16.51,18334.02,0.25,1.5,16.856,16.765,17.593,29659.47,28120.52,42114.51,2.48
2016-08-11,17.07,17.15,16.71,16.67,33163.63,-0.44,-2.57,16.776,16.766,17.695,31800.71,29386.88,45487.94,4.49
2016-08-10,16.83,17.39,17.15,16.76,48265.45,0.34,2.02,16.808,16.785,17.835,30964.41,30185.33,48971.11,6.53
