date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,8.86,8.91,8.89,8.77,24206.59,0.0,0.0,8.894,8.772,8.767,36420.56,33882.14,31986.45,0.47
2016-10-13,8.89,8.94,8.89,8.87,19793.0,0.01,0.11,8.878,8.769,8.764,40500.25,36874.35,32267.78,0.38
2016-10-12,8.94,8.94,8.89,8.81,26273.26,-0.05,-0.56,8.828,8.762,8.761,40627.63,37479.42,33285.54,0.51
2016-10-11,8.86,9.01,8.94,8.83,62496.19,0.08,0.9,8.772,8.756,8.756,42367.28,38801.54,34372.54,1.21
2016-10-10,8.83,8.89,8.86,8.73,49333.75,0.04,0.45,8.706,8.734,8.744,35082.26,35191.47,32884.37,0.95
2016-09-30,8.6,8.87,8.81,8.56,44605.07,0.17,1.97,8.65,8.724,8.735,31343.72,32611.96,32141.02,0.86
2016-09-29,8.58,8.67,8.64,8.55,20429.89,0.04,0.47,8.66,8.711,8.735,33248.45,29705.56,32105.11,0.39
2016-09-28,8.61,8.64,8.61,8.51,34971.48,0.0,0.0,8.696,8.713,8.74,34331.2,29505.93,32646.0,0.68
2016-09-27,8.58,8.66,8.61,8.5,26071.11,0.03,0.35,8.74,8.706,8.747,35235.81,28755.17,32655.58,0.5
2016-09-26,8.9,8.93,8.58,8.58,30641.03,-0.29,-3.27,8.762,8.732,8.76,35300.68,29951.95,33087.96,0.59
2016-09-23,8.82,8.95,8.86,8.78,54128.76,0.04,0.45,8.798,8.761,8.775,33880.2,30090.76,34308.53,1.05
2016-09-22,8.83,8.88,8.82,8.77,25843.64,0.03,0.34,8.762,8.759,8.784,26162.67,27661.21,35918.18,0.5
2016-09-21,8.72,8.83,8.83,8.67,39494.51,0.11,1.26,8.73,8.759,8.803,24680.65,29091.66,38718.71,0.76
2016-09-20,8.75,8.8,8.72,8.68,26395.48,-0.03,-0.34,8.672,8.756,8.81,22274.52,29943.54,39468.8,0.51
2016-09-19,8.66,8.76,8.76,8.63,23538.63,0.08,0.92,8.702,8.754,8.828,24603.22,30577.27,40661.49,0.45
2016-09-14,8.61,8.72,8.68,8.55,15541.11,0.02,0.23,8.724,8.746,8.839,26301.32,31670.07,44107.96,0.3
2016-09-13,8.55,8.67,8.66,8.55,18433.54,0.11,1.29,8.756,8.759,8.849,29159.74,34504.66,45973.36,0.36
2016-09-12,8.76,8.78,8.54,8.52,27463.86,-0.3,-3.39,8.788,8.767,8.862,33502.67,35786.07,52713.15,0.53
2016-09-09,8.87,8.9,8.87,8.79,38038.94,0.01,0.11,8.84,8.788,8.875,37612.56,36556.0,56849.17,0.73
2016-09-08,8.85,8.87,8.87,8.78,32029.17,0.04,0.45,8.806,8.788,8.861,36551.31,36223.96,56810.5,0.62
2016-09-07,8.8,8.92,8.84,8.77,29833.18,0.01,0.11,8.768,8.788,8.839,37038.82,38526.29,56340.32,0.58
2016-09-06,8.78,8.87,8.82,8.64,40148.19,0.02,0.23,8.762,8.808,8.824,39849.59,44175.15,56474.53,0.78
2016-09-05,8.72,8.82,8.8,8.68,48013.33,0.1,1.15,8.746,8.847,8.813,38069.46,48345.75,56467.22,0.93
2016-09-02,8.68,8.78,8.7,8.63,32732.7,0.02,0.23,8.736,8.864,8.802,35499.43,48994.05,56560.93,0.63
2016-09-01,8.81,8.83,8.68,8.66,34466.72,-0.12,-1.36,8.77,8.902,8.789,35896.61,50745.71,57360.36,0.67
2016-08-31,8.71,8.84,8.81,8.7,43886.99,0.07,0.8,8.808,8.932,8.774,40013.75,56545.84,57067.77,0.85
2016-08-30,8.7,8.8,8.74,8.65,31247.58,-0.01,-0.11,8.854,8.938,8.752,48500.71,57442.06,57089.11,0.6
2016-08-29,8.8,8.83,8.75,8.7,35163.17,-0.11,-1.24,8.948,8.956,8.727,58622.04,69640.23,56733.42,0.68
2016-08-26,8.83,8.9,8.87,8.76,34718.57,0.02,0.23,8.992,8.961,8.698,62488.67,77142.34,56605.54,0.67
2016-08-25,8.89,8.93,8.87,8.63,55052.46,-0.1,-1.11,9.034,8.934,8.67,65594.82,77397.04,56491.75,1.06
2016-08-24,9.18,9.25,9.04,8.92,86321.78,-0.18,-1.95,9.056,8.89,8.644,73077.93,74154.36,55648.38,1.67
2016-08-23,8.98,9.24,9.21,8.9,81854.21,0.25,2.79,9.022,8.84,8.604,66383.41,68773.92,54598.53,1.58
2016-08-22,9.08,9.1,8.97,8.85,54496.31,-0.1,-1.1,8.964,8.778,8.576,80658.41,64588.68,52869.58,1.05
2016-08-19,8.98,9.12,9.08,8.92,50249.35,0.1,1.11,8.93,8.739,8.555,91796.02,64127.8,51693.02,0.97
2016-08-18,8.89,9.15,8.98,8.88,92468.0,0.1,1.13,8.834,8.675,8.524,89199.26,63975.01,51282.24,1.79
2016-08-17,8.88,8.97,8.87,8.77,52849.17,-0.05,-0.56,8.724,8.616,8.503,75230.78,57589.69,48770.85,1.02
2016-08-16,8.75,9.15,8.92,8.75,153229.23,0.13,1.48,8.658,8.566,8.489,71164.42,56736.15,48531.78,2.96
2016-08-15,8.63,8.94,8.8,8.6,110184.36,0.2,2.33,8.592,8.498,8.47,48518.95,43826.61,42178.83,2.13
2016-08-12,8.43,8.61,8.6,8.42,37265.55,0.17,2.02,8.548,8.435,8.457,36459.59,36068.73,38212.63,0.72
2016-08-11,8.51,8.58,8.43,8.41,22625.6,-0.11,-1.29,8.516,8.405,8.46,38750.77,35586.46,38578.24,0.44
2016-08-10,8.59,8.6,8.54,8.45,32517.38,-0.04,-0.47,8.508,8.398,8.477,39948.6,37142.4,39793.24,0.63
2016-08-09,8.57,8.61,8.59,8.47,40001.87,0.02,0.23,8.474,8.368,8.492,42307.88,40423.14,42820.93,0.77
2016-08-08,8.37,8.58,8.58,8.36,49887.53,0.19,2.27,8.404,8.374,8.494,39134.26,41150.47,43332.93,0.96
2016-08-05,8.42,8.65,8.44,8.37,48721.45,0.05,0.6,8.322,8.37,8.49,35677.88,39258.23,43529.1,0.94
2016-08-04,8.38,8.4,8.39,8.25,28614.79,0.01,0.12,8.294,8.373,8.491,32422.15,38589.47,43134.38,0.55
2016-08-03,8.22,8.4,8.37,8.21,44313.78,0.13,1.58,8.288,8.39,8.492,34336.2,39952.0,43328.31,0.86
2016-08-02,8.1,8.25,8.24,8.1,24133.76,0.07,0.86,8.262,8.412,8.494,38538.39,40327.41,43216.68,0.47
2016-08-01,8.27,8.27,8.17,8.11,32605.6,-0.12,-1.45,8.344,8.442,8.501,43166.68,40531.05,44173.31,0.63
2016-07-29,8.33,8.37,8.3,8.2,32442.8,-0.05,-0.6,8.418,8.479,8.511,42838.58,40356.54,45374.6,0.63
2016-07-28,8.25,8.36,8.36,8.2,38185.06,0.16,1.95,8.452,8.515,8.507,44756.79,41570.02,45177.57,0.74
2016-07-27,8.65,8.71,8.24,8.16,65324.72,-0.42,-4.85,8.492,8.556,8.498,45567.8,42444.08,45033.93,1.26
2016-07-26,8.54,8.69,8.65,8.51,47275.23,0.11,1.29,8.562,8.615,8.495,42116.44,45218.73,44667.31,0.91
2016-07-25,8.46,8.57,8.54,8.41,30965.07,0.08,0.95,8.54,8.613,8.472,37895.41,45515.39,44174.81,0.6
2016-07-22,8.55,8.57,8.47,8.4,42033.88,-0.08,-0.94,8.54,8.609,8.449,37874.49,47799.97,43661.59,0.81
2016-07-21,8.57,8.62,8.56,8.53,42240.09,-0.03,-0.35,8.578,8.608,8.423,38383.25,47679.3,43142.27,0.82
2016-07-20,8.54,8.64,8.59,8.51,48067.93,0.05,0.58,8.62,8.593,8.398,39320.36,46704.62,42197.62,0.93
2016-07-19,8.59,8.59,8.54,8.49,26170.07,-0.01,-0.12,8.668,8.575,8.372,48321.02,46105.95,40745.32,0.51
2016-07-18,8.66,8.66,8.54,8.49,30860.5,-0.12,-1.39,8.686,8.559,8.342,53135.37,47815.57,40747.32,0.6
2016-07-15,8.73,8.82,8.66,8.59,44577.67,-0.13,-1.48,8.678,8.542,8.316,57725.44,50392.67,40141.59,0.86
2016-07-14,8.81,8.85,8.77,8.68,46925.61,-0.05,-0.57,8.638,8.498,8.284,56975.35,48785.12,39040.96,0.91
2016-07-13,8.75,8.98,8.83,8.69,93071.23,0.21,2.44,8.566,8.439,8.244,54088.89,47623.78,38555.49,1.8
2016-07-12,8.45,8.63,8.63,8.43,50241.84,0.14,1.65,8.482,8.374,8.201,43890.87,44115.9,35161.56,0.97
2016-07-11,8.47,8.61,8.5,8.43,53810.83,0.05,0.59,8.432,8.33,8.16,42495.76,42834.23,34034.74,1.04
2016-07-08,8.37,8.5,8.46,8.37,40827.22,0.06,0.71,8.406,8.289,8.124,43059.9,39523.22,33230.96,0.79
2016-07-07,8.41,8.46,8.41,8.36,32493.33,0.0,0.0,8.358,8.238,8.109,40594.89,38605.25,32269.61,0.63
2016-07-06,8.38,8.46,8.41,8.34,42081.15,0.03,0.36,8.312,8.203,8.098,41158.67,37690.61,31799.71,0.81
2016-07-05,8.38,8.42,8.38,8.32,43266.28,0.0,0.0,8.266,8.168,8.088,44340.93,35384.7,31397.6,0.84
2016-07-04,8.2,8.43,8.37,8.16,56631.51,0.16,1.95,8.228,8.125,8.079,43172.69,33679.08,31462.52,1.09
2016-07-01,8.21,8.25,8.22,8.16,28502.19,0.03,0.37,8.172,8.089,8.072,35986.53,29890.5,30775.15,0.55
2016-06-30,8.2,8.22,8.18,8.13,35312.2,0.0,0.0,8.118,8.07,8.073,36615.6,29296.79,31123.29,0.68
2016-06-29,8.17,8.24,8.18,8.15,57992.45,0.0,0.0,8.094,8.049,8.074,34222.55,29487.2,32449.93,1.12
2016-06-28,8.1,8.2,8.19,7.97,37425.12,0.09,1.11,8.07,8.028,8.063,26428.47,26207.22,30799.33,0.72
2016-06-27,7.88,8.1,8.09,7.88,20700.7,0.15,1.89,8.022,7.989,8.049,24185.47,25235.25,29891.55,0.4
2016-06-24,8.09,8.18,7.95,7.76,31647.55,-0.12,-1.49,8.006,7.959,8.039,23794.48,26938.7,30902.51,0.61
2016-06-23,8.07,8.14,8.06,7.96,23346.93,-0.01,-0.12,8.022,7.979,8.043,21977.98,25933.98,30429.11,0.45
2016-06-22,7.95,8.07,8.06,7.9,19022.04,0.12,1.51,8.004,7.992,8.042,24751.84,25908.81,30834.05,0.37
2016-06-21,8.04,8.15,7.95,7.9,26210.15,-0.07,-0.87,7.986,8.008,8.046,25985.98,27410.5,31896.89,0.51
