date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,29.28,31.3,30.85,29.03,76719.97,1.58,5.4,29.742,28.929,28.891,44287.72,30924.87,29974.38,9.54
2016-10-13,29.36,29.85,29.27,29.25,28251.53,-0.09,-0.31,29.196,28.732,28.83,31107.32,25530.55,27970.65,3.51
2016-10-12,29.59,29.9,29.36,29.2,31106.66,-0.49,-1.64,28.95,28.715,28.859,27985.8,26300.99,28350.14,3.87
2016-10-11,29.21,30.5,29.85,29.15,51670.21,0.47,1.6,28.698,28.709,28.843,24271.17,28692.33,27661.69,6.42
2016-10-10,28.4,29.5,29.38,28.35,33690.23,1.26,4.48,28.392,28.55,28.793,17774.34,24640.96,25982.98,4.19
2016-09-30,28.18,28.18,28.12,28.0,10817.97,0.08,0.28,28.116,28.464,28.765,17562.02,22812.93,25553.34,1.34
2016-09-29,28.0,28.28,28.04,28.0,12643.92,-0.06,-0.21,28.268,28.462,28.795,19953.78,23950.45,26198.5,1.57
2016-09-28,28.08,28.47,28.1,28.02,12533.52,-0.22,-0.78,28.48,28.472,28.847,24616.19,26257.4,26676.9,1.56
2016-09-27,27.68,28.32,28.32,27.66,19186.06,0.32,1.14,28.72,28.491,28.89,33113.48,28139.13,26851.97,2.38
2016-09-26,28.7,28.86,28.0,27.8,32628.64,-0.88,-3.05,28.708,28.648,28.915,31507.57,29191.42,26865.44,4.06
2016-09-23,29.25,29.29,28.88,28.88,22776.74,-0.22,-0.76,28.812,28.853,28.951,28063.84,29023.89,26458.03,2.83
2016-09-22,29.18,29.59,29.1,28.86,35955.97,-0.2,-0.68,28.656,28.927,28.967,27947.12,30410.75,26368.32,4.47
2016-09-21,28.45,29.89,29.3,28.26,55020.0,1.04,3.68,28.464,29.003,28.964,27898.62,30399.28,25694.75,6.84
2016-09-20,28.53,28.69,28.26,28.14,11156.52,-0.26,-0.91,28.262,28.976,28.95,23164.77,26631.06,25876.82,1.39
2016-09-19,28.12,28.56,28.52,28.1,15409.95,0.42,1.5,28.588,29.036,29.071,26875.27,27325.0,28041.87,1.92
2016-09-14,27.97,28.36,28.1,27.46,22193.14,-0.04,-0.14,28.894,29.066,29.119,29983.94,28293.74,28512.74,2.76
2016-09-13,28.58,28.65,28.14,27.81,35713.49,-0.15,-0.53,29.198,29.127,29.19,32874.38,28446.55,28496.33,4.44
2016-09-12,28.74,29.0,28.29,28.28,31350.76,-1.6,-5.35,29.542,29.221,29.268,32899.94,27096.39,28604.04,3.9
2016-09-09,30.09,30.5,29.89,29.88,29709.0,-0.16,-0.53,29.69,29.289,29.342,30097.34,25564.82,29706.68,3.69
2016-09-08,29.71,30.12,30.05,29.6,30953.31,0.43,1.45,29.484,29.181,29.267,27774.73,24539.45,29253.51,3.85
2016-09-07,29.6,30.38,29.62,29.55,36645.36,-0.24,-0.8,29.238,29.048,29.173,26603.54,23892.18,29155.86,4.55
2016-09-06,29.23,29.91,29.86,28.6,35841.27,0.83,2.86,29.056,29.006,29.142,24018.71,22325.88,28929.42,4.45
2016-09-05,29.0,29.29,29.03,28.8,17337.78,0.17,0.59,28.9,28.925,29.109,21292.84,20990.21,29190.83,2.15
2016-09-02,28.45,29.09,28.86,28.45,18095.92,0.04,0.14,28.888,28.924,29.101,21032.29,25122.57,30134.92,2.25
2016-09-01,28.73,29.21,28.82,28.52,25097.39,0.11,0.38,28.878,29.105,29.089,21304.17,28758.74,31316.34,3.12
2016-08-31,29.08,29.13,28.71,28.39,23721.18,-0.37,-1.27,28.858,29.171,29.107,21180.81,28731.75,32919.86,2.95
2016-08-30,28.86,29.28,29.08,28.76,22211.91,0.11,0.38,28.956,29.253,29.142,20633.06,28546.12,33450.2,2.76
2016-08-29,28.88,29.09,28.97,28.7,16035.05,0.16,0.56,28.95,29.315,29.191,20687.59,30111.69,33254.12,1.99
2016-08-26,28.75,29.34,28.81,28.68,19455.32,0.09,0.31,28.96,29.394,29.241,29212.86,33848.55,33815.48,2.42
2016-08-25,29.1,29.1,28.72,28.38,24480.59,-0.48,-1.64,29.332,29.353,29.331,36213.32,33967.57,35211.88,3.04
2016-08-24,29.09,29.42,29.2,29.0,20982.43,0.15,0.52,29.484,29.297,29.391,36282.69,34419.53,36232.26,2.61
2016-08-23,28.9,29.3,29.05,28.72,22484.58,0.03,0.1,29.55,29.277,29.486,36459.18,35532.96,37782.34,2.79
2016-08-22,30.06,30.45,29.02,29.0,58661.36,-1.65,-5.38,29.68,29.292,29.746,39535.78,37391.45,37627.25,7.29
2016-08-19,29.74,31.47,30.67,29.31,54457.62,1.19,4.04,29.828,29.278,30.0,38484.25,35147.27,36099.35,6.77
2016-08-18,29.5,29.74,29.48,29.27,24827.44,-0.05,-0.17,29.374,29.073,30.146,31721.83,33873.94,35848.56,3.09
2016-08-17,29.9,29.9,29.53,29.36,21864.9,-0.17,-0.57,29.11,29.043,30.424,32556.38,37107.97,37654.13,2.72
2016-08-16,29.76,30.39,29.7,29.51,37867.57,-0.06,-0.2,29.004,29.03,30.708,34606.74,38354.28,38555.65,4.71
2016-08-15,28.5,30.06,29.76,28.12,53403.71,1.36,4.79,28.904,29.066,30.962,35247.13,36396.55,38273.28,6.64
2016-08-12,28.1,28.56,28.4,28.09,20645.52,0.24,0.85,28.728,29.088,31.179,31810.3,33782.4,37505.54,2.57
2016-08-11,29.14,29.14,28.16,28.13,29000.2,-0.84,-2.9,28.772,29.308,31.51,36026.05,36456.18,38357.98,3.6
2016-08-10,29.2,29.48,29.0,28.86,32116.7,-0.2,-0.69,28.976,29.485,31.83,41659.57,38044.98,38641.05,3.99
2016-08-09,28.87,29.2,29.2,28.71,41069.5,0.32,1.11,29.056,29.694,32.119,42101.81,40031.73,38884.51,5.1
2016-08-08,28.5,28.88,28.88,27.86,36219.56,0.26,0.91,29.228,30.2,32.413,37545.96,37863.05,40202.59,4.5
2016-08-05,29.19,29.47,28.62,28.39,41724.29,-0.56,-1.92,29.448,30.721,32.742,35754.51,37051.44,41348.74,5.19
2016-08-04,29.41,29.68,29.18,28.6,57167.78,-0.22,-0.75,29.844,31.219,33.167,36886.32,37823.19,42677.62,7.11
2016-08-03,30.0,30.14,29.4,29.2,34327.94,-0.66,-2.2,29.994,31.805,33.5,34430.4,38200.3,41970.6,4.27
2016-08-02,29.96,30.27,30.06,29.48,18290.25,0.08,0.27,30.332,32.386,33.819,37961.64,38757.02,41741.79,2.27
2016-08-01,30.4,30.41,29.98,28.88,27262.28,-0.62,-2.03,31.172,32.857,34.121,38180.13,40150.01,42812.4,3.39
2016-07-29,30.13,31.32,30.6,29.9,47383.34,0.67,2.24,31.994,33.269,34.454,38348.37,41228.68,43915.87,5.89
2016-07-28,31.08,31.33,29.93,28.66,44888.18,-1.16,-3.73,32.594,33.712,34.699,38760.05,40259.77,43214.81,5.58
2016-07-27,34.3,34.45,31.09,30.83,51984.16,-3.17,-9.25,33.616,34.174,34.988,41970.2,39237.11,43256.04,6.46
2016-07-26,34.3,34.4,34.26,33.9,19382.71,0.17,0.5,34.44,34.543,35.241,39552.4,37737.28,42914.19,2.41
2016-07-25,33.5,34.1,34.09,33.25,28103.45,0.49,1.46,34.542,34.625,35.367,42119.89,42542.13,44588.19,3.49
2016-07-22,34.39,34.5,33.6,33.51,49441.77,-1.44,-4.11,34.544,34.762,35.525,44109.0,45646.05,46360.1,6.15
2016-07-21,35.88,36.65,35.04,35.01,60938.89,-0.17,-0.48,34.83,35.114,35.682,41759.49,47532.05,48521.21,7.57
2016-07-20,34.84,35.77,35.21,34.84,39895.18,0.44,1.26,34.732,35.195,35.771,36504.02,45740.89,49045.01,4.96
2016-07-19,34.0,34.87,34.77,33.95,32220.16,0.67,1.97,34.646,35.251,35.882,35922.16,44726.55,52952.0,4.0
2016-07-18,34.78,34.8,34.1,33.7,38049.0,-0.93,-2.65,34.708,35.385,35.924,42964.38,45474.79,56213.08,4.73
2016-07-15,34.75,35.25,35.03,34.43,37694.22,0.48,1.39,34.98,35.639,36.038,47183.09,46603.05,59804.17,4.68
2016-07-14,34.8,35.1,34.55,34.2,34661.56,-0.23,-0.66,35.398,35.686,35.94,53304.61,46169.85,59864.26,4.31
2016-07-13,35.0,35.11,34.78,34.2,36985.88,-0.3,-0.85,35.658,35.801,35.864,54977.76,47274.96,61140.18,4.6
2016-07-12,35.5,35.6,35.08,33.11,67431.23,-0.38,-1.07,35.856,35.938,35.801,53530.94,48091.09,61891.15,8.38
2016-07-11,37.18,37.37,35.46,35.3,59142.58,-1.66,-4.47,36.062,36.108,35.571,47985.2,46634.26,60431.13,7.35
2016-07-08,35.8,37.2,37.12,35.27,68301.79,1.27,3.54,36.298,36.287,35.295,46023.0,47074.16,59349.63,8.49
2016-07-07,35.77,36.1,35.85,35.01,43027.34,0.08,0.22,35.974,36.25,35.103,39035.08,49510.37,57554.48,5.35
2016-07-06,36.05,36.05,35.77,35.33,29751.77,-0.34,-0.94,35.944,36.346,35.015,39572.16,52349.12,57340.1,3.7
2016-07-05,36.7,36.98,36.11,35.9,39702.51,-0.53,-1.45,36.02,36.513,34.907,42651.25,61177.44,58075.27,4.93
2016-07-04,35.26,36.85,36.64,35.12,49331.58,1.14,3.21,36.154,36.462,34.835,45283.31,66951.37,58872.78,6.13
2016-07-01,35.89,36.51,35.5,35.0,33362.21,-0.2,-0.56,36.276,36.436,34.733,48125.33,73005.29,58692.44,4.15
2016-06-30,36.15,36.8,35.7,35.15,45712.75,-0.45,-1.25,36.526,36.193,34.677,59985.67,73558.68,60357.69,5.68
2016-06-29,37.05,37.05,36.15,35.94,45147.18,-0.63,-1.71,36.748,35.927,34.557,65126.08,75005.39,61124.95,4.28
2016-06-28,36.91,37.22,36.78,36.05,52862.84,-0.47,-1.26,37.006,35.664,34.306,79703.64,75691.21,60445.19,5.01
2016-06-27,36.2,37.38,37.25,35.6,63541.65,0.5,1.36,36.77,35.033,34.069,88619.43,74228.01,60636.67,6.02
2016-06-24,36.99,37.42,36.75,34.25,92663.91,-0.01,-0.03,36.596,34.303,33.827,97885.26,71625.11,61323.97,8.78
2016-06-23,37.67,39.43,36.81,36.4,71414.81,-0.63,-1.68,35.86,33.955,33.578,87131.7,65598.58,60558.0,6.77
2016-06-22,35.39,39.04,37.44,34.9,118035.01,1.84,5.17,35.106,33.684,33.331,84884.7,62331.08,61647.64,11.19
2016-06-21,37.0,37.0,35.6,34.92,97441.79,-0.78,-2.14,34.322,33.3,32.994,71678.78,54973.09,58525.53,9.23
2016-06-20,32.86,36.38,36.38,32.86,109870.76,3.31,10.01,33.296,33.208,32.609,59836.59,50794.18,55458.11,10.41
2016-06-17,33.7,33.98,33.07,32.58,38896.13,0.03,0.09,32.01,33.03,32.179,45364.96,44379.59,52674.77,3.69
2016-06-16,33.17,34.84,33.04,32.75,60179.8,-0.48,-1.43,32.05,33.16,31.856,44065.46,47156.7,53003.67,5.7
2016-06-15,30.1,33.52,33.52,29.8,52005.42,3.05,10.01,32.262,33.186,31.629,39777.46,47244.51,53063.36,4.93
2016-06-14,29.5,30.47,30.47,29.1,38230.86,0.52,1.74,32.278,32.947,31.438,38267.41,45199.16,53873.06,3.62
2016-06-13,32.4,32.8,29.95,29.94,37512.58,-3.32,-9.98,33.12,33.105,31.452,41751.77,47045.32,54828.56,3.55
2016-06-08,33.82,34.06,33.27,33.0,32398.65,-0.83,-2.43,34.05,33.35,31.487,43394.23,51022.83,56214.34,3.07
2016-06-07,33.9,34.29,34.1,32.8,38739.78,0.5,1.49,34.27,33.201,31.444,50247.94,55517.41,58264.68,3.67
2016-06-06,34.7,34.71,33.6,33.0,44455.16,-1.08,-3.11,34.11,32.978,31.3,54711.56,60964.21,60484.37,4.21
2016-06-03,34.33,35.49,34.68,33.58,55652.7,0.08,0.23,33.616,32.687,31.146,52130.92,62077.96,61981.67,5.27
2016-06-02,34.5,34.75,34.6,33.83,45724.85,0.23,0.67,33.09,32.009,30.88,52338.86,60122.05,61979.29,4.33
2016-06-01,32.89,35.65,34.37,32.6,66667.22,1.07,3.21,32.65,31.328,30.752,58651.43,60969.96,62467.35,6.32
2016-05-31,31.8,33.7,33.3,31.31,61057.89,2.17,6.97,32.132,30.551,30.577,60786.88,58850.64,61971.08,5.79
2016-05-30,31.48,31.96,31.13,30.58,31551.96,-0.92,-2.87,31.846,30.071,30.495,67216.86,58882.21,62848.39,2.99
2016-05-27,32.2,32.95,32.05,31.3,56692.38,-0.35,-1.08,31.758,29.928,30.457,72025.0,62546.96,64459.83,5.37
2016-05-26,31.36,33.48,32.4,31.32,77287.72,0.62,1.95,30.928,29.798,30.423,67905.23,62611.81,67512.47,7.32
2016-05-25,31.93,32.73,31.78,31.3,77344.46,-0.09,-0.28,30.006,29.624,30.378,63288.48,61405.85,67836.93,7.33
2016-05-24,32.07,32.48,31.87,31.1,93207.76,1.18,3.85,28.97,29.687,30.221,56914.39,61011.95,65725.89,8.83
2016-05-23,28.13,30.69,30.69,28.13,55592.69,2.79,10.0,28.296,29.622,29.93,50547.56,60004.54,62774.26,5.27
2016-05-20,27.11,27.99,27.9,26.9,36093.52,0.11,0.4,28.098,29.605,29.662,53068.92,61885.37,61088.36,3.42
2016-05-19,26.65,27.98,27.79,26.15,54203.96,1.19,4.47,28.668,29.751,29.509,57318.39,63836.53,60681.12,5.14
2016-05-18,28.51,28.9,26.6,26.01,45474.02,-1.9,-6.67,29.242,30.175,29.378,59523.23,63964.74,60332.15,4.31
2016-05-17,29.99,30.03,28.5,28.08,61373.61,-1.2,-4.04,30.404,30.603,29.439,65109.51,65091.52,59239.0,5.82
2016-05-16,30.15,30.15,29.7,28.95,68199.48,-1.05,-3.42,30.948,30.918,29.419,69461.51,66814.57,57492.94,6.46
2016-05-13,30.59,31.3,30.75,30.15,57340.88,0.09,0.29,31.112,30.985,29.367,70701.83,66372.7,55631.52,5.43
2016-05-12,31.31,31.58,30.66,30.0,65228.16,-1.75,-5.4,30.834,31.048,29.26,70354.67,72413.12,54514.82,6.18
2016-05-11,30.5,32.42,32.41,30.0,73405.42,1.19,3.81,31.108,31.132,29.134,68406.25,74268.0,53543.27,6.96
2016-05-10,31.45,33.57,31.22,30.49,83133.62,0.7,2.29,30.802,30.755,28.903,65073.54,70439.83,51108.54,7.88
2016-05-09,28.8,31.48,30.52,27.31,74401.05,1.16,3.95,30.888,30.237,28.759,64167.63,65543.99,48716.18,7.05
2016-05-06,31.62,31.77,29.36,29.31,55605.09,-2.67,-8.34,30.858,29.718,28.601,62043.58,60291.35,46275.17,5.27
2016-05-05,31.3,32.3,32.03,30.5,55486.05,1.15,3.72,31.262,29.266,28.517,74471.57,57525.71,45665.4,5.26
2016-05-04,31.6,32.09,30.88,30.8,56741.87,-0.77,-2.43,31.156,28.581,28.35,80129.76,56699.56,45290.55,5.38
2016-05-03,30.15,32.28,31.65,30.15,78604.07,1.28,4.21,30.708,28.275,28.207,75806.12,53386.48,44428.17,7.45
2016-04-29,31.37,31.47,30.37,30.31,63780.83,-1.01,-3.22,29.586,27.92,27.968,66920.36,48171.31,41878.8,6.04
2016-04-28,32.59,32.92,31.38,30.19,117745.05,-0.12,-0.38,28.578,27.748,27.814,58539.12,44890.33,40387.4,11.16
2016-04-27,29.94,31.5,31.5,29.84,83777.0,2.86,9.99,27.27,27.471,27.605,40579.84,36616.51,35883.88,7.94
2016-04-26,26.35,28.64,28.64,26.35,35123.67,2.6,9.98,26.006,27.136,27.321,33269.36,32818.54,33071.89,3.33
2016-04-25,25.22,26.68,26.04,24.35,34175.25,0.71,2.8,25.842,27.052,27.225,30966.83,31777.25,32887.71,3.24
2016-04-22,24.86,25.57,25.33,24.86,21874.65,0.49,1.97,26.254,27.28,27.303,29422.26,31888.37,32586.69,2.07
2016-04-21,25.1,25.8,24.84,24.75,27948.62,-0.34,-1.35,26.918,27.483,27.433,31241.53,32258.99,35624.77,2.65
2016-04-20,28.3,28.3,25.18,25.1,47224.6,-2.64,-9.49,27.672,27.768,27.587,32653.18,33805.09,37505.01,4.48
2016-04-19,28.3,28.4,27.82,27.56,23611.03,-0.28,-1.0,28.266,28.118,27.669,32367.73,33881.54,37485.26,2.24
2016-04-18,28.45,28.7,28.1,27.51,26452.41,-0.55,-1.92,28.262,28.139,27.627,32587.67,35469.86,39213.44,2.51
2016-04-15,28.69,28.91,28.65,28.22,30971.0,0.04,0.14,28.306,28.015,27.532,34354.48,35586.28,41261.27,2.93
2016-04-14,28.22,28.78,28.61,28.18,35006.87,0.46,1.63,28.048,27.88,27.348,33276.44,35884.47,41874.08,3.32
2016-04-13,28.01,28.9,28.15,28.01,45797.34,0.35,1.26,27.864,27.739,27.1,34956.99,35151.25,41383.16,4.34
2016-04-12,28.21,28.44,27.8,27.5,24710.73,-0.52,-1.84,27.97,27.506,26.908,35395.35,33325.24,40798.14,2.34
2016-04-11,27.98,28.4,28.32,27.36,35286.48,0.96,3.51,28.016,27.397,26.734,38352.06,33998.17,41170.34,3.34
2016-04-08,27.48,27.63,27.36,26.88,25580.8,-0.33,-1.19,27.724,27.325,26.468,36818.08,33285.0,40210.6,2.42
2016-04-07,28.6,28.6,27.69,27.52,43409.61,-0.99,-3.45,27.712,27.383,26.244,38492.49,38990.56,39899.2,4.11
