date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-10-14,40.14,40.8,40.35,39.84,36246.96,0.17,0.42,40.344,39.581,42.255,55992.15,56531.46,73206.36,6.25
2016-10-13,40.64,40.8,40.19,39.92,47418.12,-0.66,-1.62,39.996,39.855,42.737,55872.3,60937.31,81724.28,8.18
2016-10-12,40.1,41.97,40.85,39.72,77296.05,0.77,1.92,39.672,40.14,43.395,55090.55,62917.12,90433.46,13.33
2016-10-11,40.25,40.25,40.08,39.52,55150.92,-0.16,-0.4,39.184,40.326,43.929,48294.08,62054.16,96833.1,9.51
2016-10-10,38.99,40.43,40.25,38.61,63848.72,1.66,4.3,39.046,40.694,44.46,50690.52,64888.62,107318.98,11.01
2016-09-30,38.48,38.87,38.61,38.35,35647.7,0.03,0.08,38.818,41.172,44.983,57070.77,66155.22,120406.74,6.15
2016-09-29,38.5,38.99,38.57,38.28,43509.34,0.15,0.39,39.714,41.845,45.357,66002.32,71345.91,131686.19,7.5
2016-09-28,39.14,39.19,38.41,38.37,43313.71,-0.95,-2.41,40.608,42.483,45.524,70743.7,75564.09,129546.73,7.47
2016-09-27,38.85,39.45,39.39,38.0,67133.13,0.26,0.66,41.468,43.224,45.509,75814.24,79670.29,127413.45,11.57
2016-09-26,43.0,43.0,39.11,39.01,95749.99,-3.97,-9.21,42.342,43.984,45.271,79086.72,85031.75,124088.57,16.51
2016-09-23,42.9,44.32,43.09,42.81,80305.44,0.06,0.14,43.526,44.928,44.89,75239.66,89881.26,119315.3,13.85
2016-09-22,42.9,43.15,43.04,42.35,67216.21,0.34,0.8,43.976,45.619,44.167,76689.5,102511.24,115306.02,11.59
2016-09-21,43.51,43.78,42.71,42.66,68666.43,-1.08,-2.47,44.358,46.65,43.317,80384.49,117949.79,111949.61,11.84
2016-09-20,44.99,44.99,43.76,43.53,83495.55,-1.25,-2.78,44.98,47.531,42.364,83526.34,131612.04,108518.19,14.4
2016-09-19,45.55,46.12,45.03,44.35,76514.66,-0.3,-0.66,45.626,48.225,41.252,90976.77,149749.34,104359.06,13.19
2016-09-14,44.52,46.75,45.34,44.21,87554.66,0.34,0.76,46.33,48.793,41.053,104522.86,174658.26,105824.56,15.1
2016-09-13,46.2,46.38,44.95,44.51,85691.14,-0.87,-1.9,47.262,48.869,40.814,128332.99,192026.47,106839.55,14.77
2016-09-12,45.26,46.68,45.82,45.1,84375.69,-1.17,-2.49,48.942,48.565,40.571,155515.09,183529.36,108083.57,14.55
2016-09-09,48.03,48.88,46.99,46.76,120747.72,-1.48,-3.05,50.082,47.793,40.243,179697.75,175156.61,109565.32,20.82
2016-09-08,49.4,50.5,48.55,47.7,144245.08,-1.49,-2.98,50.824,46.558,39.793,208521.9,163145.4,108819.82,24.87
2016-09-07,52.48,52.83,50.0,49.95,206605.3,-3.37,-6.31,51.256,44.852,39.168,244793.66,148749.34,106289.45,35.62
2016-09-06,50.8,54.02,53.35,50.4,221601.67,1.82,3.53,50.476,42.715,38.335,255719.96,128100.8,98572.84,38.21
2016-09-05,50.7,52.86,51.52,49.25,205288.98,0.82,1.62,48.188,39.983,37.083,211543.63,105949.43,88320.44,35.39
2016-09-02,48.0,53.25,50.7,47.6,264868.47,-0.01,-0.02,45.504,37.197,35.771,170615.48,85424.33,77686.94,45.67
2016-09-01,46.1,50.71,50.71,46.1,325603.88,4.61,10.0,42.292,34.278,34.278,117768.9,58968.79,58968.79,56.14
2016-08-31,46.1,46.1,46.1,44.4,261236.81,4.19,10.0,38.448,32.452,32.452,52705.01,29342.66,29342.66,45.04
2016-08-30,41.91,41.91,41.91,41.91,720.0,3.81,10.0,34.954,30.746,30.746,481.63,355.9,355.9,0.12
2016-08-29,38.1,38.1,38.1,38.1,648.23,3.46,9.99,31.778,29.151,29.151,355.23,303.88,303.88,0.11
2016-08-26,34.64,34.64,34.64,34.64,635.56,3.15,10.0,28.89,27.66,27.66,233.19,246.49,246.49,0.11
2016-08-25,31.49,31.49,31.49,31.49,284.45,2.86,9.99,26.264,26.264,26.264,168.67,168.67,168.67,0.05
2016-08-24,28.63,28.63,28.63,28.63,119.92,2.6,9.99,24.958,24.958,24.958,139.73,139.73,139.73,0.02
2016-08-23,26.03,26.03,26.03,26.03,88.0,2.37,10.02,23.733,23.733,23.733,146.33,146.33,146.33,0.02
2016-08-22,23.66,23.66,23.66,23.66,38.0,2.15,9.99,22.585,22.585,22.585,175.5,175.5,175.5,0.01
2016-08-19,17.93,21.51,21.51,17.93,313.0,6.57,43.98,21.51,21.51,21.51,313.0,313.0,313.0,0.05
